id,link,subcategory,catId
SC088,https://www.allrecipes.com/recipes/2809/salad/seafood-salad/tuna-salad/,Tuna Salad Recipes,C008
SC089,https://www.allrecipes.com/recipes/1673/side-dish/beans-and-peas/baked-beans/,Baked Bean Recipes,C009
SC090,https://www.allrecipes.com/recipes/919/side-dish/vegetables/broccoli/,Broccoli Side Dish Recipes,C009
SC091,https://www.allrecipes.com/recipes/1457/side-dish/potatoes/mashed-potatoes/,Mashed Potato Recipes,C009
SC092,https://www.allrecipes.com/recipes/496/side-dish/sauces-and-condiments/sauces/pasta-sauces/,Pasta Sauce Recipes,C009
SC093,https://www.allrecipes.com/recipes/917/side-dish/potatoes/,Potato Side Dish Recipes,C009
SC094,https://www.allrecipes.com/recipes/224/side-dish/rice/,Rice Side Dish Recipes,C009
SC095,https://www.allrecipes.com/recipes/210/side-dish/sauces-and-condiments/salad-dressings/,Salad Dressing Recipes,C009
SC096,https://www.allrecipes.com/recipes/1548/side-dish/potatoes/scalloped-potatoes/,Scalloped Potato Recipes,C009
SC097,https://www.allrecipes.com/recipes/225/side-dish/vegetables/,Vegetable Side Dish Recipes,C009
SC098,https://www.allrecipes.com/recipes/14730/soups-stews-and-chili/stews/beef/,Beef Stew Recipes,C010
SC099,https://www.allrecipes.com/recipes/16973/soups-stews-and-chili/soup/vegetable-soup/cabbage-soup/,Cabbage Soup Recipes,C010
SC100,https://www.allrecipes.com/recipes/14723/soups-stews-and-chili/soup/chicken-soup/chicken-and-dumplings/,Chicken and Dumpling Recipes,C010
SC101,https://www.allrecipes.com/recipes/173/soups-stews-and-chili/chili/,Chili Recipes,C010
SC102,https://www.allrecipes.com/recipes/14770/soups-stews-and-chili/chowders/corn-chowder/,Corn Chowder Recipes,C010
SC103,https://www.allrecipes.com/recipes/1426/soups-stews-and-chili/stews/gumbo/,Gumbo Recipes,C010
SC104,https://www.allrecipes.com/recipes/1428/soups-stews-and-chili/stews/jambalaya/,Jambalaya Recipes,C010
SC105,https://www.allrecipes.com/recipes/1552/soups-stews-and-chili/soup/vegetable-soup/potato-soup/,Potato Soup Recipes,C010
SC106,https://www.allrecipes.com/recipes/16942/soups-stews-and-chili/soup/taco-soup/,Taco Soup Recipes,C010
SC107,https://www.allrecipes.com/recipes/14731/soups-stews-and-chili/soup/vegetable-soup/tomato-soup/,Tomato Soup Recipes,C010
SC108,https://www.allrecipes.com/recipes/16369/soups-stews-and-chili/soup/,More Soup Recipes,C010
SC109,https://www.allrecipes.com/recipes/14730/soups-stews-and-chili/stews/,More Stew Recipes,C010
SC110,https://www.allrecipes.com/kitchen-tips/health-nutrition/,Well Fed,C011
SC111,https://www.allrecipes.com/recipes/739/healthy-recipes/diabetic/,Diabetic Recipes,C011
SC112,https://www.allrecipes.com/recipes/741/healthy-recipes/gluten-free/,Gluten-Free Recipes,C011
SC113,https://www.allrecipes.com/recipes/22959/healthy-recipes/keto-diet/,Keto Recipes,C011
SC114,https://www.allrecipes.com/recipes/1232/healthy-recipes/low-calorie/,Low Calorie Recipes,C011
SC115,https://www.allrecipes.com/recipes/742/healthy-recipes/low-carb/,Low Carb Recipes,C011
SC116,https://www.allrecipes.com/recipes/737/healthy-recipes/low-cholesterol/,Low Cholesterol Recipes,C011
SC117,https://www.allrecipes.com/recipes/1231/healthy-recipes/low-fat/,Low Fat Recipes,C011
SC118,https://www.allrecipes.com/recipes/1788/healthy-recipes/low-sodium/,Low Sodium Recipes,C011
SC119,https://www.allrecipes.com/recipes/16704/healthy-recipes/mediterranean-diet/,Mediterranean Diet Recipes,C011
SC120,https://www.allrecipes.com/recipes/22590/healthy-recipes/whole30/,Whole30 Recipes,C011
