id,recipe,link,imgLink,subCatId
R02804,Cold Tuna Macaroni Salad,https://www.allrecipes.com/recipe/14335/cold-tuna-macaroni-salad/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5552229.jpg,SC088
R02805,Healthier Mediterranean Tuna Salad,https://www.allrecipes.com/recipe/276599/healthier-mediterranean-tuna-salad/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1740673.jpg,SC088
R02806,Tuna Salad With Fresh Dill,https://www.allrecipes.com/recipe/14225/tuna-salad-with-fresh-dill/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F193187.jpg,SC088
R02807,Tuna and Chickpea Salad,https://www.allrecipes.com/recipe/215901/tuna-and-chickpea-salad/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2022%2F05%2F03%2Ftuna-and-chickpea-salad-France-C-1-by-1-2000.jpg,SC088
R02808,Virgina's Tuna Salad,https://www.allrecipes.com/recipe/20185/virginas-tuna-salad/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F44694.jpg,SC088
R02809,Macaroni Tuna Salad,https://www.allrecipes.com/recipe/214646/macaroni-tuna-salad/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1126897.jpg,SC088
R02810,Amazingly Good and Healthy Tuna Salad,https://www.allrecipes.com/recipe/231151/amazingly-good-and-healthy-tuna-salad/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1001465.jpg,SC088
R02811,Tuna Fish Pea Salad,https://www.allrecipes.com/recipe/114978/tuna-fish-pea-salad/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F463312.jpg,SC088
R02812,Tuna Pasta Salad with Dill,https://www.allrecipes.com/recipe/90426/tuna-pasta-salad-with-dill/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F541970.jpg,SC088
R02813,Asian Tuna Salad,https://www.allrecipes.com/recipe/237687/asian-tuna-salad/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7388284.jpg,SC088
